S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S15,S16,S17,S18,S21,S22,S23,S24,S25,S26,S27,S28,S29,S31,M3x,M3y,M3z,M1x,M1y,M1z,M4x,M4y,M4z,M2x,M2y,M2z,sesion_time_stamp
5,2,3,5,19,0,1,0,4,9,45,4,2,13,0,4,2,7,10,93,35,0,18,3,5,21,2,1.55036473274231,0.61395126581192,0.866285800933838,1.66267800331116,0.396868079900742,0.630090832710266,1.35321962833405,0.266109138727188,0.507299840450287,1.35986292362213,0.297777503728867,0.709139764308929,11_Sep_2023_14_40
7,2,11,3,19,1,3,0,3,5,45,7,0,15,1,5,2,7,0,81,40,2,19,3,5,18,5,1.55056047439575,0.61393529176712,0.866970717906952,1.66306114196777,0.397022515535355,0.630407214164734,1.3510559797287,0.275468111038208,0.501345574855804,1.3584451675415,0.301014691591263,0.704028248786926,11_Sep_2023_14_40
9,1,7,2,21,0,0,0,10,6,47,4,0,13,8,9,0,6,0,83,37,2,21,10,3,19,1,1.55079913139343,0.613922953605652,0.867345035076141,1.66333603858948,0.397176086902618,0.630720198154449,1.3491598367691,0.28293839097023,0.496966660022736,1.35720181465149,0.303545266389847,0.700436949729919,11_Sep_2023_14_40
5,7,3,7,13,0,1,2,3,8,46,4,0,14,0,2,0,6,0,91,36,2,20,8,0,19,2,1.55116498470306,0.613974928855896,0.867547273635864,1.66378962993622,0.397437989711761,0.630957424640656,1.34700191020966,0.292947620153427,0.490897446870804,1.35532093048096,0.30724760890007,0.695137977600098,11_Sep_2023_14_40
7,2,4,3,15,0,2,0,3,9,44,6,2,15,1,5,0,7,0,94,38,2,21,4,0,18,1,1.55131483078003,0.614048480987549,0.867893099784851,1.66443538665771,0.397573381662369,0.631328940391541,1.34460735321045,0.303478926420212,0.484983950853348,1.35320377349854,0.310883849859238,0.689840614795685,11_Sep_2023_14_40
5,1,5,4,15,0,1,0,2,11,46,5,0,12,0,5,0,7,0,90,36,2,23,12,3,23,1,1.55146324634552,0.614121675491333,0.868076682090759,1.66485035419464,0.397659838199615,0.631650745868683,1.34275913238525,0.311494886875153,0.480665504932404,1.35152435302734,0.313993722200394,0.685816407203674,11_Sep_2023_14_40
5,2,3,5,23,0,3,0,2,7,51,3,0,14,0,5,3,5,4,91,38,5,25,3,4,26,0,1.55162692070007,0.61426305770874,0.868388831615448,1.66555857658386,0.397835910320282,0.631710588932037,1.33971953392029,0.322241365909576,0.475468546152115,1.34904754161835,0.318671613931656,0.680679261684418,11_Sep_2023_14_40
7,1,3,4,17,1,0,1,10,7,47,8,1,14,0,6,0,9,1,90,38,3,20,3,10,19,7,1.55178213119507,0.614403009414673,0.868507921695709,1.66637301445007,0.39796856045723,0.631963789463043,1.3362820148468,0.333366245031357,0.470489978790283,1.3464982509613,0.323805958032608,0.675702571868897,11_Sep_2023_14_40
7,0,3,4,16,2,0,0,2,7,50,5,1,14,0,5,0,3,0,92,36,3,18,3,2,19,4,1.55168545246124,0.614548325538635,0.869205355644226,1.66718661785126,0.397951155900955,0.632405161857605,1.33257985115051,0.344586938619614,0.466111123561859,1.34381330013275,0.329134523868561,0.670933961868286,11_Sep_2023_14_40
4,2,4,3,16,0,1,1,3,8,50,6,1,14,16,5,1,9,0,88,33,8,20,9,2,21,8,1.55178666114807,0.614718496799469,0.869235336780548,1.66782093048096,0.398078173398971,0.632330656051636,1.32978129386902,0.353201627731323,0.463044553995132,1.34182512760162,0.333120793104172,0.667571425437927,11_Sep_2023_14_40
6,2,4,5,16,0,1,1,7,14,52,10,1,14,0,11,0,9,8,90,39,0,23,3,5,20,9,1.55184733867645,0.614890933036804,0.86916708946228,1.66879618167877,0.398303866386414,0.632297873497009,1.32569301128387,0.364845842123032,0.459378898143768,1.33934855461121,0.33850160241127,0.663374543190002,11_Sep_2023_14_40
8,1,4,3,15,1,0,0,3,10,53,10,0,19,1,8,0,7,1,89,40,3,20,4,1,20,1,1.55192446708679,0.615129590034485,0.868996679782867,1.66981077194214,0.398262709379196,0.632696270942688,1.32151365280151,0.376447468996048,0.456209421157837,1.33689939975739,0.344059765338898,0.659485459327698,11_Sep_2023_14_40
14,2,2,2,19,0,0,0,9,13,53,7,2,21,2,7,1,8,0,90,37,3,21,3,1,14,0,1.55195784568787,0.615272343158722,0.868940949440002,1.67049419879913,0.398454904556274,0.632538676261902,1.3183251619339,0.38531818985939,0.45408970117569,1.33507084846497,0.348133265972137,0.656527101993561,11_Sep_2023_14_40
