S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,MWx,MWy,MWz,MSx,MSy,MSz,MCx,MCy,MCz,MEx,MEy,MEz,session_time_stamp
19,19,18,0,16,0,3,0,3,3,12,0,1,3,0,2,6,15,6,14,6,23,10,13,5,0,3,0,0.0767127275466919,-0.17176528275013,0.126790225505829,-0.18759748339653,-0.331381291151047,0.576255679130554,0.0093907993286848,-0.457116454839706,0.307765007019043,-0.0907885059714317,-0.143306031823158,0.241514548659325,29_Jan_2024_11_15
14,18,19,0,15,0,4,1,5,1,1,1,3,1,0,0,6,15,4,9,10,22,7,10,6,1,1,0,0.0766794607043266,-0.171764254570007,0.126806497573853,-0.187653228640556,-0.33135911822319,0.576254725456238,0.0093370750546455,-0.457098752260208,0.307745665311813,-0.0908260568976402,-0.143301606178284,0.241497501730919,29_Jan_2024_11_15
15,17,19,0,15,0,4,0,6,2,0,0,2,6,1,0,12,17,3,12,11,19,8,12,5,0,5,0,0.0766488835215568,-0.171754226088524,0.126821562647819,-0.187735438346863,-0.331331700086594,0.576249599456787,0.0092610577121376,-0.457073211669922,0.307722300291061,-0.0908940806984901,-0.143299072980881,0.241468116641045,29_Jan_2024_11_15
19,22,16,0,14,0,3,0,4,4,2,0,2,0,12,0,8,16,7,10,8,21,7,12,10,0,3,0,0.076605848968029,-0.171753570437431,0.126820176839829,-0.187819376587868,-0.331300556659698,0.576236724853516,0.0091909617185592,-0.457048535346985,0.30770269036293,-0.0909659266471862,-0.143299028277397,0.241432324051857,29_Jan_2024_11_15
14,19,16,0,15,2,2,4,7,1,0,2,1,1,0,5,6,16,5,8,11,23,8,12,6,0,3,7,0.0765846744179725,-0.171758309006691,0.126817464828491,-0.187866806983948,-0.3312848508358,0.576230406761169,0.0091456230729818,-0.457033783197403,0.307688146829605,-0.0910127237439155,-0.143299832940102,0.241401940584183,29_Jan_2024_11_15
16,21,15,1,13,0,2,1,5,2,0,1,1,0,0,1,6,14,7,11,8,20,7,8,11,0,4,0,0.0765596702694892,-0.171765953302383,0.126811906695366,-0.187942713499069,-0.331252127885818,0.576215744018555,0.0090787224471569,-0.457010120153427,0.30766361951828,-0.0910879448056221,-0.14330218732357,0.241345211863518,29_Jan_2024_11_15
19,21,17,0,16,1,3,0,1,3,2,0,2,1,1,4,6,14,6,8,11,20,4,12,7,0,4,0,0.0765258222818374,-0.171753749251366,0.126809567213058,-0.187989681959152,-0.331237018108368,0.576209247112274,0.0090364068746566,-0.45699155330658,0.307648807764053,-0.0911358296871185,-0.143302872776985,0.241310730576515,29_Jan_2024_11_15
16,19,15,0,11,0,3,0,3,1,3,0,0,3,0,1,3,17,3,11,10,19,8,13,5,0,2,0,0.0765082091093063,-0.171752870082855,0.126811429858208,-0.188073888421059,-0.331198632717132,0.576186180114746,0.0089798681437969,-0.456961780786514,0.307631939649582,-0.0912064015865325,-0.143323808908462,0.241258904337883,29_Jan_2024_11_15
16,18,17,8,15,0,3,2,3,2,1,0,2,8,0,0,6,14,7,10,8,21,6,12,8,0,3,6,0.076498232781887,-0.17174905538559,0.126810356974602,-0.188137128949165,-0.331190019845963,0.576190054416657,0.0089496802538633,-0.45694026350975,0.307625710964203,-0.0912447720766067,-0.143335044384003,0.241229057312012,29_Jan_2024_11_15
16,19,17,1,13,0,7,0,5,5,0,0,0,3,0,1,8,16,5,11,8,16,8,11,1,0,3,0,0.0765095576643943,-0.171750903129578,0.126805022358894,-0.188221096992493,-0.331209540367126,0.576225578784943,0.0089055839926004,-0.456912368535996,0.307623773813248,-0.0912866815924644,-0.143350452184677,0.241195812821388,29_Jan_2024_11_15
