S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
0,36,3,2,78,18,318,1,35,215,2,67,1,68,3,110,7,80,8,16,12,1,23,167,27,202,18,163,247,-1.48442149162292,0.184806868433952,0.448144733905792,-1.80701684951782,0.185444921255112,0.437314391136169,-1.5643584728241,0.542066931724548,0.394560277462006,-1.7668993473053,0.304472655057907,0.558354496955872,14_Jun_2023_08:30
1,34,0,0,71,18,310,1,34,212,2,68,0,69,0,111,9,69,7,15,12,3,24,174,27,206,16,164,245,-1.48165416717529,0.184538975358009,0.450621545314789,-1.80661606788635,0.185043022036552,0.437262296676636,-1.56182897090912,0.541429758071899,0.396961659193039,-1.76707637310028,0.304019957780838,0.558407306671143,14_Jun_2023_08:30
0,38,0,1,74,16,322,1,34,218,2,70,0,68,0,108,8,59,6,15,12,1,24,173,26,209,13,161,250,-1.48099768161774,0.184959173202515,0.452388912439346,-1.80629050731659,0.185675844550133,0.435690999031067,-1.55719375610352,0.542957782745361,0.398627460002899,-1.76642739772797,0.306074261665344,0.556146681308746,14_Jun_2023_08:30
0,31,0,0,73,17,330,1,36,221,1,68,1,67,1,108,8,56,7,16,13,2,23,171,26,217,9,166,249,-1.47890448570251,0.184974044561386,0.451327681541443,-1.80622279644012,0.185849159955978,0.434728443622589,-1.55454909801483,0.542907536029816,0.398401618003845,-1.76710331439972,0.306859165430069,0.554530262947083,14_Jun_2023_08:30
0,36,1,1,84,18,342,1,42,221,5,71,1,69,1,111,8,70,8,17,12,1,22,174,27,216,13,170,251,-1.47934949398041,0.18442790210247,0.450607806444168,-1.80558621883392,0.185564741492271,0.434593141078949,-1.55363392829895,0.542909502983093,0.397908359766007,-1.76514673233032,0.306784629821777,0.554252028465271,14_Jun_2023_08:30
0,31,2,0,82,19,345,2,39,219,5,70,1,66,0,111,9,61,5,16,12,2,17,172,28,214,11,167,243,-1.48096871376038,0.185806453227997,0.447863727807999,-1.80609905719757,0.185675114393234,0.43462261557579,-1.55595135688782,0.544300079345703,0.39778944849968,-1.76655113697052,0.306925982236862,0.554500699043274,14_Jun_2023_08:30
1,28,2,1,74,19,342,3,35,226,6,69,0,68,1,109,6,56,8,19,12,0,21,175,26,210,16,168,246,-1.48272526264191,0.185510993003845,0.446590334177017,-1.8068653345108,0.185711488127708,0.434849679470062,-1.55851244926453,0.544181287288666,0.396973878145218,-1.76736772060394,0.306885153055191,0.554486155509949,14_Jun_2023_08:30
1,26,3,1,76,20,331,2,37,223,4,69,1,68,0,110,9,61,8,20,10,1,17,171,30,210,19,169,254,-1.4829626083374,0.185358449816704,0.44615638256073,-1.80742573738098,0.185877457261085,0.434500604867935,-1.55894684791565,0.543878734111786,0.395454287528992,-1.76832032203674,0.30732998251915,0.554003298282623,14_Jun_2023_08:30
0,31,3,1,76,19,327,2,43,223,1,72,1,65,1,108,7,69,7,17,9,1,21,172,29,211,19,170,258,-1.48323535919189,0.185685679316521,0.446232616901398,-1.80719196796417,0.185974597930908,0.434369146823883,-1.55880725383759,0.5442875623703,0.395490944385529,-1.76768970489502,0.307497292757034,0.553914785385132,14_Jun_2023_08:30
2,31,0,3,79,16,327,2,38,223,4,69,1,68,0,110,0,70,13,21,11,1,21,167,28,207,18,167,264,-1.48212373256683,0.187331393361092,0.445992559194565,-1.80672037601471,0.185775294899941,0.435194879770279,-1.55906999111176,0.545352637767792,0.396637707948685,-1.76636624336243,0.306729197502136,0.554982662200928,14_Jun_2023_08:30
0,31,4,2,79,19,331,0,42,227,2,71,0,67,0,107,3,78,7,23,10,0,20,166,28,213,17,163,265,-1.4808554649353,0.187256097793579,0.445869654417038,-1.80652642250061,0.185429155826569,0.435476660728455,-1.55916512012482,0.544609010219574,0.395741015672684,-1.76618313789368,0.306227713823318,0.555142939090729,14_Jun_2023_08:30
0,33,1,2,73,14,332,1,42,212,1,67,0,60,0,107,6,82,7,20,10,1,21,157,27,206,13,166,263,-1.48107957839966,0.187524735927582,0.446204453706741,-1.80653929710388,0.18588200211525,0.434645295143127,-1.55757653713226,0.545459628105164,0.395484864711761,-1.76586580276489,0.307352006435394,0.553909361362457,14_Jun_2023_08:30
1,29,0,1,74,19,309,1,41,203,2,67,0,65,1,109,1,76,11,18,12,0,21,159,30,209,13,164,265,-1.47996413707733,0.188416093587875,0.445588201284409,-1.80633521080017,0.185739785432816,0.434538811445236,-1.55642735958099,0.546399116516113,0.396535992622375,-1.76573657989502,0.307375699281692,0.553684711456299,14_Jun_2023_08:30
1,40,0,2,75,16,316,1,41,221,1,72,0,60,0,110,5,79,8,20,10,1,24,170,28,217,12,166,261,-1.47899293899536,0.18764965236187,0.447539478540421,-1.80587208271027,0.185555472970009,0.434970766305923,-1.55595886707306,0.545473635196686,0.397193282842636,-1.76492142677307,0.306665301322937,0.554773092269897,14_Jun_2023_08:30
2,29,2,2,83,18,321,2,38,228,1,65,2,66,1,108,8,68,9,17,9,1,22,168,26,217,12,168,263,-1.47996687889099,0.186717182397842,0.451498627662659,-1.8055534362793,0.185496598482132,0.436131954193115,-1.55698502063751,0.544839024543762,0.399994552135468,-1.7638543844223,0.305521994829178,0.55673623085022,14_Jun_2023_08:30
